LATIN_NAM,COMMON_NAM,SP_TYPE,HAB_USE,CEREALS,WNTR_CRLS,OILSEED,CORN,SOYBEANS,VEGETABLES,BERRIES,FRUIT_TREE,OTR_CRPS,SOD,PULSES,SUMMF,TAME,IMPAST,UNIMPAST,GRSSHRBWD,ANTHROP,WDLT_PLANT,WD_INTR,WD_NO_INT,SB_TREE,SB_GRS_HRB,RIP_WD,RIP_GRSHRB,RIP_AG,WTLD_W_MRG,WTLD_N_MAR,WTLD_OPWAT,WTLD_PEAT,WT_TS_SWMP,IDLE_LND
Limnodromus griseus,Short-billed Dowitcher,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limnodromus scolopaceus,Long-billed Dowitcher,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gallinago delicata,Wilson's Snipe,1,C,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,0,0,0,0,3,3,0,2,0,1,2,0,2,2,0
Scolopax minor,American Woodcock,1,C,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,1,3,2,2,2,0,0,2,2,0,2,2,0,3,2,2
Phalaropus tricolor,Wilson's Phalarope,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Larus philadelphia,Bonaparte's Gull,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Larus delawarensis,Ring-billed Gull,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Larus argentatus,Herring Gull,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Larus glaucoides,Iceland Gull,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Larus hyperboreus,Glaucous Gull,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Larus marinus,Great Black-backed Gull,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sterna hirundo,Common Tern,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0
